saleid|itemid|customerid|storeid|time|qty|pricerange
36|14|2|38|49|15|0
784|90|182|97|46|31|0
801|117|2|43|81|14|1
905|79|119|81|67|44|1
227|68|2|66|67|42|2
951|102|116|45|35|1|1
492|100|2|7|67|39|1
228|100|16|11|67|27|1
541|65|2|26|39|14|3
350|178|24|30|66|17|4
618|98|2|35|67|20|1
424|93|2|20|67|14|1
496|98|51|84|76|5|2
685|89|51|66|67|22|1
161|108|2|30|67|12|0
699|18|2|7|67|25|1
472|95|174|62|67|43|1
193|102|51|77|67|16|0
682|90|193|28|67|34|1
765|156|59|47|67|9|3
871|116|59|57|99|25|1
521|120|140|3|67|45|3
969|115|2|50|80|33|1
984|140|36|45|67|5|0
452|89|2|61|61|11|1
358|67|2|30|67|47|2
187|120|74|46|67|40|2
642|114|2|23|67|25|1
852|106|102|38|67|47|1
352|92|2|21|67|37|1
309|109|25|82|51|2|2
189|131|157|17|55|39|1
545|128|59|25|67|25|0
349|95|2|82|67|49|3
25|67|2|44|67|2|3
113|145|2|57|67|9|2
920|105|53|100|49|34|1
996|110|164|34|61|24|1
834|83|102|48|49|26|1
822|129|59|13|67|37|1
312|115|2|22|46|3|1
321|67|23|46|100|30|1
605|84|2|18|67|22|1
885|82|2|57|30|39|3
410|101|185|22|92|5|4
933|87|2|65|67|37|4
363|107|2|76|67|8|1
218|134|2|24|46|37|1
655|98|23|10|28|23|1
847|137|2|17|67|41|1
369|93|2|90|67|34|0
639|112|2|27|29|10|1
345|100|2|41|67|36|3
911|108|130|73|61|2|1
803|85|59|64|67|24|2
108|114|2|27|67|33|1
628|99|2|54|67|45|4
256|119|59|76|67|42|1
81|108|2|84|68|35|1
223|97|2|9|46|23|2
583|110|101|89|67|30|1
305|134|2|85|67|46|4
151|119|23|33|67|10|4
804|83|2|61|67|11|1
829|112|2|70|63|43|2
146|92|130|83|67|21|1
590|101|32|89|67|43|1
556|116|37|5|74|25|1
230|94|185|96|67|41|3
576|71|57|95|67|41|3
458|126|198|13|67|24|3
558|106|2|57|67|1|0
536|76|2|27|67|15|1
542|88|2|52|67|4|1
417|93|168|80|76|40|2
229|101|59|48|56|38|1
750|114|185|63|27|45|1
382|72|180|77|67|26|1
325|115|2|30|67|47|1
982|107|103|23|29|36|1
244|83|2|75|67|27|3
624|117|2|5|16|18|1
891|64|2|10|67|34|1
128|81|43|85|49|26|3
446|136|16|85|67|50|1
295|80|2|25|84|34|1
203|20|41|40|67|3|1
769|91|2|62|67|26|4
569|133|59|15|67|42|1
570|92|2|87|49|5|1
870|89|185|67|67|31|1
970|100|2|19|61|1|1
553|94|137|20|67|16|1
28|128|166|12|67|25|1
346|90|59|76|67|4|4
945|92|2|73|39|2|0
710|87|59|78|69|5|1
251|134|59|33|67|15|0
450|123|140|75|67|19|1
732|100|157|67|24|20|1
55|64|2|33|46|14|1
675|105|2|12|67|38|1
745|88|186|88|67|11|1
515|199|2|23|5|8|3
98|109|2|79|46|29|1
620|90|185|89|67|36|3
778|75|160|72|67|17|2
820|129|130|76|49|9|1
944|102|2|51|3|47|4
747|77|185|49|67|3|1
142|77|2|51|67|26|1
32|127|2|95|74|47|1
845|84|25|81|25|2|1
759|81|2|30|46|37|0
286|84|59|74|67|38|1
796|99|130|100|56|30|1
843|82|59|35|4|5|1
137|91|182|85|67|18|0
692|70|191|4|38|20|1
560|43|38|53|46|47|1
633|121|96|94|67|24|1
893|90|200|59|17|27|1
222|117|47|83|67|11|3
936|122|185|64|87|8|1
154|117|2|9|61|2|1
939|104|85|21|46|44|2
477|115|59|91|67|28|0
37|70|2|29|67|12|4
909|119|2|44|67|7|1
568|99|2|18|26|20|1
14|97|20|95|9|24|1
120|94|9|43|92|27|1
226|109|185|77|77|8|1
199|89|151|45|4|11|1
152|91|15|18|48|18|0
584|105|2|98|67|38|1
469|127|2|77|95|38|1
393|119|196|84|93|28|0
24|97|28|61|84|24|1
817|81|2|39|67|11|1
517|119|51|6|51|1|1
204|104|97|31|18|15|3
263|184|2|32|51|9|1
415|89|140|27|67|2|4
